note,FREQ,div value,beat(Hz),bits,,,Freq,Code,Bits,,,
C0,16.35,4892965,0.0000,23,,8MHz,8000000,9,4,,,
ÿC#0/Db0ÿ,17.32,4618937,0.0000,23,,,8888888.88888889,8,4,,,
D0,18.35,4359672,0.0000,23,,,10000000,7,3,,,Ref
ÿD#0/Eb0ÿ,19.45,4113110,0.0000,22,,,11428571.4285714,6,3,,,80000000
E0,20.6,3883494,0.0000,22,,,13333333.3333333,5,3,,,
F0,21.83,3664681,0.0000,22,,,16000000,4,3,,,
ÿF#0/Gb0ÿ,23.12,3460207,0.0000,22,,,20000000,3,2,,,
G0,24.5,3265305,0.0000,22,,,26666666.6666667,2,2,,,
ÿG#0/Ab0ÿ,25.96,3081663,0.0000,22,,,40000000,1,1,,,
A0,27.5,2909090,0.0000,22,,,80000000,0,Err:502,,,
ÿA#0/Bb0ÿ,29.14,2745366,0.0000,22,,,,,,,,
B0,30.87,2591512,0.0000,22,,,,,,,,
C1,32.7,2446482,0.0000,22,,,,,,,,
ÿC#1/Db1ÿ,34.65,2308801,0.0000,22,,,,,,,,
D1,36.71,2179242,0.0000,22,,,,,,,,
ÿD#1/Eb1ÿ,38.89,2057083,0.0000,21,,,,,,,,
E1,41.2,1941747,0.0000,21,,,,,,,,
F1,43.65,1832760,0.0000,21,,,,,,,,
ÿF#1/Gb1ÿ,46.25,1729729,0.0000,21,,,,,,,,
G1,49,1632652,0.0000,21,,,,,,,,
ÿG#1/Ab1ÿ,51.91,1541128,0.0000,21,,,,,,,,
A1,55,1454544,0.0000,21,,,,,,,,
ÿA#1/Bb1ÿ,58.27,1372918,0.0000,21,,,,,,,,
B1,61.74,1295755,0.0000,21,,,,,,,,
C2,65.41,1223054,0.0000,21,,,,,,,,
ÿC#2/Db2ÿ,69.3,1154400,0.0000,21,,,,,,,,
D2,73.42,1089620,0.0000,21,,,,,,,,
ÿD#2/Eb2ÿ,77.78,1028541,0.0000,20,,,,,,,,
E2,82.41,970755,0.0000,20,,,,,,,,
F2,87.31,916274,0.0000,20,,,,,,,,
ÿF#2/Gb2ÿ,92.5,864864,0.0000,20,,,,,,,,
G2,98,816326,0.0001,20,,,,,,,,
ÿG#2/Ab2ÿ,103.83,770489,0.0000,20,,,,,,,,
A2,110,727272,0.0000,20,,,,,,,,
ÿA#2/Bb2ÿ,116.54,686459,0.0001,20,,,,,,,,
B2,123.47,647930,0.0001,20,,,,,,,,
C3,130.81,611573,0.0000,20,,,,,,,,
ÿC#3/Db3ÿ,138.59,577241,0.0001,20,,,,,,,,
D3,146.83,544847,0.0001,20,,,,,,,,
ÿD#3/Eb3ÿ,155.56,514270,0.0000,19,,,,,,,,
E3,164.81,485406,0.0001,19,,,,,,,,
F3,174.61,458163,0.0000,19,,,,,,,,
ÿF#3/Gb3ÿ,185,432431,0.0002,19,,,,,,,,
G3,196,408162,0.0001,19,,,,,,,,
ÿG#3/Ab3ÿ,207.65,385263,0.0002,19,,,,,,,,
A3,220,363635,0.0002,19,,,,,,,,
ÿA#3/Bb3ÿ,233.08,343229,0.0001,19,,,,,,,,
B3,246.94,323964,0.0003,19,,,,,,,,
C4,261.63,305774,0.0003,19,,,,,,,,
ÿC#4/Db4ÿ,277.18,288620,0.0001,19,,,,,,,,
D4,293.66,272423,0.0001,19,,,,,,,,
ÿD#4/Eb4ÿ,311.13,257126,0.0003,18,,,,,,,,
E4,329.63,242695,0.0005,18,,,,,,,,
F4,349.23,229074,0.0006,18,,,,,,,,
ÿF#4/Gb4ÿ,369.99,216221,0.0001,18,,,,,,,,
G4,392,204081,0.0007,18,,,,,,,,
ÿG#4/Ab4ÿ,415.3,192631,0.0004,18,,,,,,,,
A4,440,181817,0.0004,18,,,,,,,,
ÿA#4/Bb4ÿ,466.16,171614,0.0003,18,,,,,,,,
B4,493.88,161982,0.0010,18,,,,,,,,
C5,523.25,152890,0.0014,18,,,,,,,,
ÿC#5/Db5ÿ,554.37,144307,0.0002,18,,,,,,,,
