Release 8.1i - Fit P.20131013
Copyright(c) 1995-2003 Xilinx Inc. All rights reserved

 2- 8-2017  2:17PM

NOTE: This file is designed to be imported into a spreadsheet program
such as Microsoft Excel for viewing, printing and sorting. The comma ','
character is used as the data field separator.
This file is also designed to support parsing.

Input file:  MCE_CJG.ngd
output file: MCE_CJG_pad.csv
Part type:   xc9572
Speed grade: -7
Package:     pc84

Pinout by Pin Number:

-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,{blank},Slew Rate,Termination,{blank},Voltage,Constraint,
P1,D<5>,I/O,I/O,BIDIR,,,,,,,,,
P2,D<7>,I/O,I/O,BIDIR,,,,,,,,,
P3,TIE,,I/O,,,,,,,,,,
P4,D<3>,I/O,I/O,BIDIR,,,,,,,,,
P5,CPU_IPL2,O,I/O,OUTPUT,,,,,,,,,
P6,CPU_IPL0,O,I/O,OUTPUT,,,,,,,,,
P7,Speaker,O,I/O,OUTPUT,,,,,,,,,
P8,GND,,GND,,,,,,,,,,
P9,Q2_Clock,GCK,I/O/GCK1,,,,,,,,,,
P10,GPO<0>,O,I/O/GCK2,OUTPUT,,,,,,,,,
P11,Q2_Enable,O,I/O,OUTPUT,,,,,,,,,
P12,GPI<0>,I,I/O/GCK3,INPUT,,,,,,,,,
P13,GPO<1>,O,I/O,OUTPUT,,,,,,,,,
P14,GPI<1>,I,I/O,INPUT,,,,,,,,,
P15,GPO<2>,O,I/O,OUTPUT,,,,,,,,,
P16,GND,,GND,,,,,,,,,,
P17,GPI<2>,I,I/O,INPUT,,,,,,,,,
P18,GPO<3>,O,I/O,OUTPUT,,,,,,,,,
P19,GPI<3>,I,I/O,INPUT,,,,,,,,,
P20,GPO<4>,O,I/O,OUTPUT,,,,,,,,,
P21,GPIO_IPL0,I,I/O,INPUT,,,,,,,,,
P22,VCC,,VCCIO,,,,,,,,,,
P23,GPO<5>,O,I/O,OUTPUT,,,,,,,,,
P24,GPIO_IACK,I/O,I/O,BIDIR,,,,,,,,,
P25,GPO<6>,O,I/O,OUTPUT,,,,,,,,,
P26,GPIO_AS,I/O,I/O,BIDIR,,,,,,,,,
P27,GND,,GND,,,,,,,,,,
P28,TDI,,TDI,,,,,,,,,,
P29,TMS,,TMS,,,,,,,,,,
P30,TCK,,TCK,,,,,,,,,,
P31,GPO<7>,O,I/O,OUTPUT,,,,,,,,,
P32,FC0,I,I/O,INPUT,,,,,,,,,
